# Stock Analysis Data Export
# Symbol: AAPL
# Export Date: 2025-08-30T21:45:17.782461
# Data Points: 434
# Date Range: 2024-01-02 to 2025-08-29
# Features: 50 technical indicators included
#
,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Price_Range,Price_Change,MA_5,MA_5_Signal,MA_10,MA_10_Signal,MA_20,MA_20_Signal,MA_50,MA_50_Signal,MA_100,MA_100_Signal,MA_200,MA_200_Signal,EMA_12,EMA_26,RSI_14,RSI_7,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Williams_R_14,Williams_R_21,Momentum_5,ROC_5,Momentum_10,ROC_10,Momentum_20,ROC_20,Volatility_10,Volatility_30,Volume_MA_10,Volume_Ratio,Price_Volume,Support,Resistance,Trend_5,Trend_20
2024-01-02,184.0814819336,186.857977909,182.3461738403,185.5787994699,82488700,,,4.5118040688,-1.4973175363,,-1,,-1,,-1,,-1,,-1,,-1,184.0814819336,184.0814819336,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,15184642138.775633,,,-1,-1
2024-01-03,182.7031707764,184.3194913217,181.8900476383,182.673423845,58414500,-0.0074875058000000005,-0.0075156779,2.4294436834,0.0297469313,,-1,,-1,,-1,,-1,,-1,,-1,183.3348967234,183.3658203712,,,-0.030923647800000002,-0.0171798043,-0.0137438434,,,,,,,,,,,,,,,,,,10672514369.316101,,,-1,-1
2024-01-04,180.3828277588,181.5529141274,179.3614760538,180.6208032205,71983600,-0.0127000698,-0.012781405000000001,2.1914380736,-0.2379754617,,-1,,-1,,-1,,-1,,-1,,-1,182.1827035248,182.2940600881,,,-0.1113565633,-0.0557768367,-0.055579726600000004,,,,,,,,,,,,,,,,,,12984605320.257566,,,-1,-1
2024-01-05,179.6589355469,181.225672817,178.6574202287,180.4621480782,62379700,-0.0040130883,-0.0040211623000000005,2.5682525883,-0.8032125314,,-1,,-1,,-1,,-1,,-1,,-1,181.3860486042,181.5573944202,,,-0.171345816,-0.0949262199,-0.0764195961,,,,,,,,,,,,,,,,,,11207070501.733398,,,-1,-1
2024-01-08,184.0021820068,184.0418546715,179.9762689892,180.5613121826,59144500,0.0241749538,0.0238873653,4.0655856823,3.4408698242,182.1657196045,1,,-1,,-1,,-1,,-1,,-1,182.0968426997,182.1243507453,,,-0.0275080456,-0.0748708373,0.047362791700000004,,,,,,,,,,,,,,,,,,10882717053.70331,,,-1,-1
2024-01-09,183.5856933594,183.5956039593,181.1959224035,182.3759344162,42841800,-0.0022634984,-0.002266064,2.3996815558,1.2097589432,182.0665618896,1,,-1,,-1,,-1,,-1,,-1,182.4587117381,182.4170460156,,,0.0416657225,-0.043282950300000005,0.0849486728,,,,,,,,-0.4957885742,-0.2693310424,,,,,,,,,7865141557.763672,,,-1,-1
2024-01-10,184.6268768311,184.8351053396,182.3759299826,182.8023278607,46792900,0.0056713759,0.0056553542000000005,2.459175357,1.8245489704,182.4513031006,1,,-1,,-1,,-1,,-1,,-1,182.9425301928,182.8100529707,,52.667368154,0.1324772221,0.0011972605,0.1312799616,,,,,,,,1.9237060547,1.0529133383,,,,,,,,,8639226984.867859,,,1,-1
2024-01-11,184.0319213867,185.479670975,182.0784588244,184.9739428703,49128400,-0.0032224747,-0.0032276781,3.4012121506,-0.9420214836,183.1811218262,1,,-1,,-1,,-1,,-1,,-1,183.169869344,183.0069262484,,49.7709437007,0.1629430957,0.040067826300000005,0.1228752694,,,,,,,,3.6490936279,2.0229717392,,,,,,,,,9041193846.655273,,,1,-1
2024-01-12,184.3591461182,185.1722692442,183.6352789155,184.4979701725,40477800,0.0017780868,0.0017765079,1.5369903287,-0.1388240544,184.1211639404,1,,-1,,-1,,-1,,-1,,-1,183.4051506199,183.2073549183,,58.4771102557,0.1977957016,0.07650374800000001,0.1212919536,,,,,,,,4.7002105712999995,2.6161852496,,,,,,,,,7462452644.741822,,,1,-1
2024-01-15,184.3591461182,185.1722692442,183.6352789155,184.4979701725,40477800,0.0,0.0,1.5369903287,-0.1388240544,184.1925567627,1,183.1791381836,1,,-1,,-1,,-1,,-1,183.585932396,183.3662908938,,76.6974834339,0.2196415022,0.1085749141,0.1110665881,,,,,,,,0.3569641113,0.1939999338,,,,,,,55412970.0,0.7304751938,7462452644.741822,,,1,-1
